T32-1-L1_T3,overview statistics,,,,
identifier,water [g],sand [g],salt direct [g],salt indirect [g],salt difference [g]
"(1,1)",3.3278,8.2333,1.1411,1.1319,0.0092
"(1,2)",2.5888,9.3214,0.7319,0.7228,0.0091
"(1,3)",1.5165,10.6212,0.2936,0.2941,-0.0005
"(1,4)",2.9574,13.908,0.408,0.4164,-0.0084
"(1,5)",2.5446,13.2837,0.2111,0.2164,-0.0053
"(1,6)",1.4514,12.5658,0.1037,0.1089,-0.0052
"(1,7)",4.6383,15.8217,0.3059,0.3185,-0.0126
"(1,8)",7.0168,22.1573,0.4497,0.4548,-0.0051
"(1,9)",0,0,0,0,0
"(2,1)",3.573,11.7575,1.0823,1.0769,0.0054
"(2,2)",3.5989,13.7895,0.8558,0.8481,0.0077
"(2,3)",2.6337,17.1848,0.5702,0.5747,-0.0045
"(2,4)",2.3905,14.157,0.3556,0.3582,-0.0026
"(2,5)",2.519,14.9672,0.2234,0.2293,-0.0059
"(2,6)",2.1534,14.3032,0.1535,0.1563,-0.0028
"(2,7)",4.6181,15.9342,0.3392,0.3432,-0.004
"(2,8)",12.5672,43.3873,0.7435,0.7355,0.008
"(2,9)",0,0,0,0,0
"(3,1)",3.1984,12.5755,1.0796,1.0902,-0.0106
"(3,2)",3.4069,13.1993,1.0304,0.9966,0.0338
"(3,3)",1.8429,13.282,0.5333,0.5381,-0.0048
"(3,4)",2.9645,15.9163,0.5319,0.5311,0.0008
"(3,5)",2.2542,17.8694,0.2465,0.2474,-0.0009
"(3,6)",1.7416,13.9115,0.1332,0.1338,-0.0006
"(3,7)",4.9839,15.8804,0.3453,0.3456,-0.0003
"(3,8)",7.376,24.3712,0.475,0.4782,-0.0032
"(3,9)",7.5307,23.5835,0.4554,0.4847,-0.0293
"(4,1)",5.147,15.065,1.5838,1.6011,-0.0173
"(4,2)",2.9653,8.4729,0.8726,0.8617,0.0109
"(4,3)",2.8113,14.3319,0.692,0.7025,-0.0105
"(4,4)",2.6796,17.371,0.3821,0.3904,-0.0083
"(4,5)",3.3164,14.7143,0.305,0.3255,-0.0205
"(4,6)",2.2404,16.5989,0.1669,0.1711,-0.0042
"(4,7)",5.4591,19.3414,0.3619,0.3696,-0.0077
"(4,8)",9.7344,32.5335,0.5642,0.5766,-0.0124
"(4,9)",9.0133,36.3821,0.4943,0.5074,-0.0131
"(5,1)",4.0841,9.7481,1.1315,1.1389,-0.0074
"(5,2)",2.7624,13.6263,0.7264,0.7357,-0.0093
"(5,3)",1.4805,15.2214,0.3622,0.374,-0.0118
"(5,4)",2.1196,14.5985,0.2494,0.2635,-0.0141
"(5,5)",3.1723,12.7478,0.2343,0.2474,-0.0131
"(5,6)",1.1352,14.39,0.0911,0.0923,-0.0012
"(5,7)",5.1981,17.6522,0.3526,0.3561,-0.0035
"(5,8)",12.073,39.6128,0.6733,0.6815,-0.0082
"(5,9)",12.8121,41.8784,0.6134,0.9116,-0.2982
"(6,1)",3.8199,7.868,0.903,0.9192,-0.0162
"(6,2)",3.2765,10.2218,0.6119,0.6612,-0.0493
"(6,3)",2.1703,13.2272,0.3542,0.4066,-0.0524
"(6,4)",3.0793,13.2598,0.27,0.3225,-0.0525
"(6,5)",3.4088,12.646,0.2524,0.3037,-0.0513
"(6,6)",2.8666,15.7172,0.2044,0.2225,-0.0181
"(6,7)",5.5883,18.7851,0.3841,0.406,-0.0219
"(6,8)",8.5519,38.0198,0.5174,0.5442,-0.0268
"(6,9)",11.9735,33.7886,0.6208,0.6995,-0.0787
"(7,1)",3.3377,12.081,0,0.9319,0
"(7,2)",2.8569,11.0045,0.5641,0.6059,-0.0418
"(7,3)",2.1331,12.2988,0.2803,0.3233,-0.043
"(7,4)",2.3267,14.0866,0.2154,0.2454,-0.03
"(7,5)",3.1306,13.9866,0.2535,0.3082,-0.0547
"(7,6)",2.7132,11.4119,0.1989,0.2261,-0.0272
"(7,7)",4.5567,14.6537,0.3222,0.3402,-0.018
"(7,8)",12.0973,41.5421,0.5332,0.6073,-0.0741
"(7,9)",11.1739,28.5773,0.493,0.5665,-0.0735
"(8,1)",4.2534,11.1699,1.0008,1.0262,-0.0254
"(8,2)",4.1901,15.9168,0.705,0.77,-0.065
"(8,3)",2.931,18.2029,0.4191,0.4707,-0.0516
"(8,4)",2.1035,15.728,0.214,0.2444,-0.0304
"(8,5)",3.0648,11.74,0.2265,0.2821,-0.0556
"(8,6)",3.3503,17.0098,0.2427,0.2596,-0.0169
"(8,7)",4.7342,16.1285,0.3346,0.3502,-0.0156
"(8,8)",8.1085,22.0066,0.3887,0.3634,0.0253
"(8,9)",6.2392,30.1827,0.3879,0.419,-0.0311
"(9,1)",3.7248,11.6355,0.9038,0.9408,-0.037
"(9,2)",3.2067,13.2979,0.6708,0.7096,-0.0388
"(9,3)",2.1979,14.5806,0.4102,0.4491,-0.0389
"(9,4)",2.2236,13.1771,0.2792,0.302,-0.0228
"(9,5)",3.3286,12.2455,0.275,0.3241,-0.0491
"(9,6)",2.5599,16.1067,0.1797,0.1889,-0.0092
"(9,7)",4.3814,14.2125,0.297,0.307,-0.01
"(9,8)",7.0336,30.2873,0.4716,0.5032,-0.0316
"(9,9)",8.4124,29.209,0.4542,0.4955,-0.0413
"(10,1)",3.6525,13.0324,1.2245,1.2783,-0.0538
"(10,2)",3.2505,13.2502,1.0098,1.0436,-0.0338
"(10,3)",2.2461,13.9061,0.4061,0.4415,-0.0354
"(10,4)",1.949,14.7598,0.254,0.2731,-0.0191
"(10,5)",2.6294,12.529,0.2319,0.2611,-0.0292
"(10,6)",3.9299,17.2994,0.2736,0.2847,-0.0111
"(10,7)",4.7597,17.8308,0.3232,0.3337,-0.0105
"(10,8)",5.8295,27.1359,0.3692,0.3851,-0.0159
"(10,9)",8.4456,28.5203,0.3669,0.4145,-0.0476
"(11,1)",3.7384,12.0801,1.245,1.2574,-0.0124
"(11,2)",2.691,12.4775,0.7435,0.7794,-0.0359
"(11,3)",1.2622,12.7639,0.2913,0.3174,-0.0261
"(11,4)",1.8312,12.1787,0.2582,0.2839,-0.0257
"(11,5)",2.191,12.9553,0.2219,0.2441,-0.0222
"(11,6)",4.0112,20.0422,0.2879,0.3024,-0.0145
"(11,7)",3.9971,16.6467,0.3016,0.3072,-0.0056
"(11,8)",7.5493,33.2958,0.4611,0.4857,-0.0246
"(11,9)",10.2903,33.1635,0.4903,0.5622,-0.0719
"(12,1)",4.4921,13.5826,1.1105,1.1498,-0.0393
"(12,2)",3.1721,13.0588,0.6531,0.6967,-0.0436
"(12,3)",1.9554,12.3582,0.3704,0.4062,-0.0358
"(12,4)",1.7522,16.0969,0.3027,0.3253,-0.0226
"(12,5)",2.5967,17.184,0.3262,0.3561,-0.0299
"(12,6)",3.1478,17.5264,0.227,0.2381,-0.0111
"(12,7)",4.6914,19.5509,0.3358,0.3479,-0.0121
"(12,8)",7.7229,34.0529,0.4222,0.4482,-0.026
"(12,9)",10.0419,30.4316,0.4366,0.5164,-0.0798
"(13,1)",4.6343,9.4459,1.1966,1.2267,-0.0301
"(13,2)",3.4319,13.548,0.0684,0.8817,-0.8133
"(13,3)",2.1988,14.1255,1.2577,0.5304,0.7273
"(13,4)",3.3206,17.8356,0.4541,0.4903,-0.0362
"(13,5)",3.8984,14.7935,0.4654,0.5101,-0.0447
"(13,6)",4.5787,17.837,0.3251,0.3459,-0.0208
"(13,7)",3.5779,17.4105,0.2438,0.2517,-0.0079
"(13,8)",5.5242,20.9532,0.3607,0.3707,-0.01
"(13,9)",10.9315,32.7467,0.4676,0.5498,-0.0822
"(14,1)",4.689,14.8929,0.5545,1.6137,-1.0592
"(14,2)",4.4489,17.4944,0.3437,1.1943,-0.8506
"(14,3)",2.6212,14.9322,0.1178,0.7001,-0.5823
"(14,4)",3.7603,17.8099,0.1666,0.6691,-0.5025
"(14,5)",2.7817,20.4972,0.0907,0.3951,-0.3044
"(14,6)",6.0483,20.9009,0.1024,0.4543,-0.3519
"(14,7)",5.7144,22.995,0.0665,0.4195,-0.353
"(14,8)",7.6424,30.3946,0.118,0.5365,-0.4185
"(14,9)",13.0727,32.3746,0.2629,0.7464,-0.4835
"(15,1)",3.8676,8.6381,0.549,1.4463,-0.8973
"(15,2)",2.6511,10.6116,0.2103,0.9065,-0.6962
"(15,3)",2.9527,18.1308,0.1884,0.9269,-0.7385
"(15,4)",1.9119,13.6735,0.0612,0.3871,-0.3259
"(15,5)",2.318,16.0349,0.1123,0.3911,-0.2788
"(15,6)",3.6029,17.5727,0.0568,0.2851,-0.2283
"(15,7)",5.6541,23.4674,0.0726,0.4266,-0.354
"(15,8)",7.5117,26.4884,0.1252,0.5444,-0.4192
"(15,9)",14.2495,32.9124,0.2741,0.7728,-0.4987
"(16,1)",4.1083,17.3705,1.1408,1.1696,-0.0288
"(16,2)",3.591,13.8282,0.6913,0.7247,-0.0334
"(16,3)",1.8051,11.0223,0.3793,0.4054,-0.0261
"(16,4)",1.9676,15.9069,0.2716,0.2891,-0.0175
"(16,5)",2.0164,15.8722,0.2701,0.281,-0.0109
"(16,6)",4.4687,23.9921,0.2979,0.3088,-0.0109
"(16,7)",6.814,16.0266,0.3754,0.4042,-0.0288
"(16,8)",7.2982,17.7223,0.4029,0.4546,-0.0517
"(16,9)",5.5658,18.1046,0.3567,0.3792,-0.0225
"(17,1)",3.7121,8.7212,3.2957,0.807,2.4887
"(17,2)",3.0202,12.7269,0.2457,0.6013,-0.3556
"(17,3)",2.3766,14.3352,-2.3762,0.3513,-2.7275
"(17,4)",2.6946,16.7989,-2.1191,0.2606,-2.3797
"(17,5)",2.7172,17.3544,6.9711,0.2403,6.7308
"(17,6)",3.5224,18.114,0.9568,0.2323,0.7245
"(17,7)",5.3829,11.4989,-0.8665,0.2957,-1.1622
"(17,8)",11.3921,25.1073,-2.478,0.5462,-3.0242
"(17,9)",9.5051,24.9401,0.8885,0.5467,0.3418
"(18,1)",3.9462,10.3973,2.2676,0.9254,1.3422
"(18,2)",3.5854,9.643,1.2482,0.53,0.7182
"(18,3)",2.1106,12.3459,-0.8415,0.2418,-1.0833
"(18,4)",2.6163,11.182,1.9907,0.1842,1.8065
"(18,5)",3.2568,15.1591,0.4477,0.2159,0.2318
"(18,6)",3.5484,15.2995,2.3009,0.2396,2.0613
"(18,7)",5.2531,10.6947,4.5198,0.2988,4.221
"(18,8)",14.9647,32.0378,3.8013,0.5604,3.2409
"(18,9)",11.1089,34.7919,1.9629,0.5505,1.4124
