site,d_S,sigma_d_s,kappa,sigma_kappa,Ra,Ra_L,Ra_U,lambda,sigma_lambda,
Badwater Basin (1),59,15,4.99,2.95,28643,8374,93961,1.42,0.58,
Badwater Basin (2),66,12,6.24,2.91,35793,12736,103415,1.42,0.58,
Badwater Basin (3),67,9,6.52,2.56,37444,15096,98635,1.27,0.55,
Badwater Basin (4),72,3,7.39,2.29,42419,20975,93764,0.58,0.32,
Badwater Basin (5),50,15,3.10,2.35,21064,5692,72316,0.55,0.28,
T10-3,4.3,0.6,0.03,0.02,117,48,286,1.79,0.86,
T16,6.8,1.6,0.07,0.04,294,99,828,1.19,0.51,
T2-4,29,14,1.23,1.12,5457,918,21627,1.13,0.54,
T2-5 (1),24,4,0.81,0.35,3594,1443,8953,1.04,0.41,
T2-5 (2),20,3,0.55,0.22,2436,1052,5742,0.94,0.50,
T2-5 (3),18,3,0.46,0.18,2033,886,4762,1.62,0.65,
T25-3 (1),11,2,0.17,0.08,771,300,1967,2.25,0.89,
T25-3 (2),24,4,0.83,0.36,3697,1484,9211,1.18,0.56,
T27-A (1),31,8,1.35,0.81,5994,1843,17825,1.70,0.65,
T27-A (2),33,4,1.55,0.56,6916,3149,15614,2.72,0.98,
T27-A (3),22,3,0.71,0.26,3172,1453,7126,1.44,0.55,
T27S (*),21,6,0.65,0.42,2892,836,8913,1.51,0.64,
T29-3 (1),138,23,27.42,12.20,121991,47476,310939,3.02,1.40,
T29-3 (2),116,22,19.49,9.29,86704,32068,229077,2.80,1.34,
T32-1-L1 (1) (*),36,12,1.84,1.35,8188,2018,27469,1.56,0.66,
T32-1-L1 (2) (*),20,4,0.56,0.26,2492,946,6467,2.65,0.98,
T32-1-L1 (3) (*),37,10,2.01,1.18,8923,2784,26303,2.43,0.92,
T36-3 (1),46,4,3.04,1.01,13538,6483,29282,1.17,0.91,
T36-3 (2),35,8,1.82,0.99,8086,2689,22918,2.27,1.03,
T36-3 (3),75,25,8.08,5.83,35924,9027,119336,1.43,0.62,
T8-W,8.7,2.6,0.11,0.08,485,135,1527,0.87,0.41,
B7,9.6,0.9,0.13,0.05,341,117,1683,0.92,0.48,
L5,11.6,1.1,0.20,0.08,497,170,2456,0.59,0.22,
D10,10.6,1.4,0.16,0.07,415,131,2198,0.41,0.16,
J11,10.6,1.4,0.16,0.07,415,131,2198,0.69,0.27,
B3,10.6,1.4,0.16,0.07,415,131,2198,0.58,0.22,
D5,10.6,1.4,0.16,0.07,415,131,2198,0.95,0.33,
I4,10.6,1.4,0.16,0.07,415,131,2198,0.53,0.20,